Dataset,PSO,OBPSO-AIW,SGA,OBGA,MCOBGA,SSA,SSGA,SSOBGA,MOCSA,ModTLBO/D,DIM-MOEA/D,GA-S,PSO-GA
Karate,0.0623,0.5291,0.2211,0.2227,0.2225,0.3281,0.4221,0.4421,0.3467,0.4011,0.4646,0.2522,0.3992
Football,0.0071,0.6045,0.2755,0.2741,0.3015,0.3512,0.4645,0.5567,0.5021,0.5646,0.5209,0.3531,0.3011
Dolphin,0.0348,0.5285,0.2608,0.2622,0.2717,0.2816,0.4398,0.5782,0.6249,0.5763,0.5941,0.3981,0.3211
Strike,0.2548,0.4345,0.3025,0.3025,0.3056,0.3227,0.4589,0.5934,0.6417,0.6855,0.6984,0.6922,0.6991
LFR-1,0.2997,0.7128,0.3065,0.3675,0.3694,0.3428,0.3987,0.6429,0.4316,0.4593,0.4741,0.4628,0.4497
LFR-2,0.3351,0.7604,0.3793,0.3063,0.5074,0.3664,0.4125,0.6598,0.4582,0.4701,0.4956,0.4837,0.4729
Email Net,0.04,0.6384,0.3384,0.4675,0.5192,0.5291,0.4576,0.4375,0.4442,0.4395,0.4531,0.4489,0.4372
NetScience,0.0818,0.7655,0.3719,0.7912,0.5123,0.4273,0.651,0.8121,0.7992,0.4583,0.4726,0.4638,0.4519
Powergrid,0.0147,0.8349,0.4881,0.8102,0.4591,0.5322,0.6445,0.5322,0.7134,0.4627,0.4772,0.4696,0.4534
Facebook,0.0118,0.6799,0.4102,0.5516,0.6669,0.5631,0.6192,0.5892,0.6563,0.4516,0.4665,0.4597,0.4458
